before	after
BGEM-0125-N	BGEM-0125-N
BGEM-0130-N	BGEM-0130-N
BGEM-0151-N	BGEM-0151-N
MoG_PHG83-146-1-1-1-1-B	MOG_PHG83-146-1-1-1-1-B
BGEM-0205-N	BGEM-0205-N
CO258	CO258
H122w	H122W
BGEM-0209-N	BGEM-0209-N
MoG_PHG83-145-1-1-1-1-B	MOG_PHG83-145-1-1-1-1-B
Mo44_LH145_0177	MO44_LH145_0177
MoG_PHG83-152-1-1-1-1-B	MOG_PHG83-152-1-1-1-1-B
MoG_PHG83-151-1-1-1-1-B	MOG_PHG83-151-1-1-1-1-B
MoG_LH123Ht-035-1-1-1-1-B	MOG_LH123HT-035-1-1-1-1-B
MoG_LH123Ht-034-1-1-1-1-B	MOG_LH123HT-034-1-1-1-1-B
Mo44_LH145_0211	MO44_LH145_0211
Mo44_LH145_0236	MO44_LH145_0236
Mo44_PHW65_0320	MO44_PHW65_0320
Mo44_PHW65_0343	MO44_PHW65_0343
PHN11_PHW65_0129	PHN11_PHW65_0129
Mo44_PHW65_0328	MO44_PHW65_0328
Mo44_PHW65_0105	MO44_PHW65_0105
PHN11_PHW65_0639	PHN11_PHW65_0639
Mo44_PHW65_0098	MO44_PHW65_0098
PHBB3	PHBB3
Mo44_PHW65_0077	MO44_PHW65_0077
Mo44_PHW65_0333	MO44_PHW65_0333
6F629	6F629
MoG_PHG83-039-1-1-1-1-B	MOG_PHG83-039-1-1-1-1-B
PHN11_LH145_0317	PHN11_LH145_0317
Mo44_PHW65_0339	MO44_PHW65_0339
Mo44_PHW65_0316	MO44_PHW65_0316
Mo44_PHW65_0302	MO44_PHW65_0302
Mo44_PHW65_0298	MO44_PHW65_0298
Mo44_PHW65_0254	MO44_PHW65_0254
PHN11_LH145_0356	PHN11_LH145_0356
MoG_PHG83-133-1-1-1-1-B	MOG_PHG83-133-1-1-1-1-B
Mo44_PHW65_0273	MO44_PHW65_0273
Mo44_PHW65_0255	MO44_PHW65_0255
Mo44_PHW65_0214	MO44_PHW65_0214
PHN11_PHW65_0378	PHN11_PHW65_0378
PHN11_PHW65_0139	PHN11_PHW65_0139
Mo44_PHW65_0047	MO44_PHW65_0047
Mo44_PHW65_0336	MO44_PHW65_0336
Mo44_PHW65_0324	MO44_PHW65_0324
PHN11_PHW65_0396	PHN11_PHW65_0396
PHN11_PHW65_0421	PHN11_PHW65_0421
PHN11_PHW65_0369	PHN11_PHW65_0369
Mo44_PHW65_0319	MO44_PHW65_0319
MoG_PHG83-007-1-1-1-1-B	MOG_PHG83-007-1-1-1-1-B
PHN11_LH145_0313	PHN11_LH145_0313
Mo44_PHG47_0238	MO44_PHG47_0238
Mo44_PHG47_0145	MO44_PHG47_0145
Mo44_PHW65_0120	MO44_PHW65_0120
Mo44_PHW65_0371	MO44_PHW65_0371
MoG_PHG83-124-1-1-1-1-B	MOG_PHG83-124-1-1-1-1-B
BGEM-0206-N	BGEM-0206-N
BGEM-0207-N	BGEM-0207-N
Mo44_PHW65_0093	MO44_PHW65_0093
MoG_PHG83-122-1-1-1-1-B	MOG_PHG83-122-1-1-1-1-B
Mo44_LH145_0057	MO44_LH145_0057
PHN11_PHW65_0499	PHN11_PHW65_0499
H91	H91
MoG_LH123Ht-001-1-1-1-1-B	MOG_LH123HT-001-1-1-1-1-B
MoG_PHG83-112-1-1-1-1-B	MOG_PHG83-112-1-1-1-1-B
MoG_PHG83-103-1-1-1-1-B	MOG_PHG83-103-1-1-1-1-B
Mo44_LH145_0054	MO44_LH145_0054
Mo44_LH145_0053	MO44_LH145_0053
MoG_PHG83-009-1-1-1-1-B	MOG_PHG83-009-1-1-1-1-B
LH222	LH222
PHN11_LH145_0096	PHN11_LH145_0096
MoG_PHG83-010-1-1-1-1-B	MOG_PHG83-010-1-1-1-1-B
MoG_PHG83-212-1-1-1-1-B	MOG_PHG83-212-1-1-1-1-B
Mo44_PHG47_0237	MO44_PHG47_0237
MoG_PHG83-132-1-1-1-1-B	MOG_PHG83-132-1-1-1-1-B
MoG_PHG83-023-1-1-1-1-B	MOG_PHG83-023-1-1-1-1-B
PHN11_PHW65_0422	PHN11_PHW65_0422
MoG_PHG83-201-1-1-1-1-B	MOG_PHG83-201-1-1-1-1-B
PHP85	PHP85
Mo44_PHW65_0097	MO44_PHW65_0097
Mo44_LH145_0013	MO44_LH145_0013
MoG_PHG83-047-1-1-1-1-B	MOG_PHG83-047-1-1-1-1-B
MoG_PHG83-034-1-1-1-1-B	MOG_PHG83-034-1-1-1-1-B
MoG_PHG83-026-1-1-1-1-B	MOG_PHG83-026-1-1-1-1-B
MoG_LH123Ht-151-1-1-1-1-B	MOG_LH123HT-151-1-1-1-1-B
MoG_PHG83-150-1-1-1-1-B	MOG_PHG83-150-1-1-1-1-B
MoG_PHG83-169-1-1-1-1-B	MOG_PHG83-169-1-1-1-1-B
MoG_PHG83-130-1-1-1-1-B	MOG_PHG83-130-1-1-1-1-B
MoG_LH123Ht-232-1-1-1-1-B	MOG_LH123HT-232-1-1-1-1-B
MoG_PHG83-195-1-1-1-1-B	MOG_PHG83-195-1-1-1-1-B
MoG_LH123Ht-195-1-1-1-1-B	MOG_LH123HT-195-1-1-1-1-B
Mo44_LH145_0008	MO44_LH145_0008
MoG_PHG83-016-1-1-1-1-B	MOG_PHG83-016-1-1-1-1-B
MoG_PHG83-032-1-1-1-1-B	MOG_PHG83-032-1-1-1-1-B
Mo44_LH145_0060	MO44_LH145_0060
MoG_PHG83-012-1-1-1-1-B	MOG_PHG83-012-1-1-1-1-B
MoG_PHG83-040-1-1-1-1-B	MOG_PHG83-040-1-1-1-1-B
MoG_PHG83-030-1-1-1-1-B	MOG_PHG83-030-1-1-1-1-B
MoG_PHG83-042-1-1-1-1-B	MOG_PHG83-042-1-1-1-1-B
PHN11_LH145_0290	PHN11_LH145_0290
PHN11_LH145_0019	PHN11_LH145_0019
PHN11_LH145_0133	PHN11_LH145_0133
Mo44_LH145_0010	MO44_LH145_0010
PHN11_LH145_0092	PHN11_LH145_0092
BSSSC0_001	BSSSC0_001
MoG_PHG83-035-1-1-1-1-B	MOG_PHG83-035-1-1-1-1-B
Mo44_LH145_0009	MO44_LH145_0009
Mo44_LH145_0042	MO44_LH145_0042
MoG_PHG83-022-1-1-1-1-B	MOG_PHG83-022-1-1-1-1-B
MoG_PHG83-003-1-1-1-1-B	MOG_PHG83-003-1-1-1-1-B
Mo44_PHG47_0324	MO44_PHG47_0324
MoG_PHG83-001-1-1-1-1-B	MOG_PHG83-001-1-1-1-1-B
MoG_PHG83-073-1-1-1-1-B	MOG_PHG83-073-1-1-1-1-B
MoG_PHG83-031-1-1-1-1-B	MOG_PHG83-031-1-1-1-1-B
MoG_PHG83-098-1-1-1-1-B	MOG_PHG83-098-1-1-1-1-B
Mo44_PHW65_0024	MO44_PHW65_0024
MoG_PHG83-202-1-1-1-1-B	MOG_PHG83-202-1-1-1-1-B
MoG_PHG83-005-1-1-1-1-B	MOG_PHG83-005-1-1-1-1-B
MoG_PHG83-015-1-1-1-1-B	MOG_PHG83-015-1-1-1-1-B
MoG_PHG83-188-1-1-1-1-B	MOG_PHG83-188-1-1-1-1-B
MoG_PHG83-223-1-1-1-1-B	MOG_PHG83-223-1-1-1-1-B
MoG_LH123Ht-024-1-1-1-1-B	MOG_LH123HT-024-1-1-1-1-B
MoG_LH123Ht-022-1-1-1-1-B	MOG_LH123HT-022-1-1-1-1-B
Mo44_LH145_0133	MO44_LH145_0133
Mo44_PHW65_0471	MO44_PHW65_0471
MoG_PHG83-200-1-1-1-1-B	MOG_PHG83-200-1-1-1-1-B
MoG_LH123Ht-005-1-1-1-1-B	MOG_LH123HT-005-1-1-1-1-B
MoG_PHG83-176-1-1-1-1-B	MOG_PHG83-176-1-1-1-1-B
Mo44_PHW65_0017	MO44_PHW65_0017
PHN11_LH145_0246	PHN11_LH145_0246
Mo44_PHW65_0376	MO44_PHW65_0376
Mo44_PHW65_0455	MO44_PHW65_0455
PHN11_LH145_0276	PHN11_LH145_0276
PHN11_LH145_0243	PHN11_LH145_0243
Mo44_PHW65_0023	MO44_PHW65_0023
Mo44_PHW65_0037	MO44_PHW65_0037
Mo44_PHW65_0464	MO44_PHW65_0464
Mo44_PHW65_0108	MO44_PHW65_0108
MoG_PHG83-128-1-1-1-1-B	MOG_PHG83-128-1-1-1-1-B
PHN11_LH145_0315	PHN11_LH145_0315
Mo44_PHW65_0001	MO44_PHW65_0001
Mo44_PHW65_0102	MO44_PHW65_0102
PHN11_LH145_0314	PHN11_LH145_0314
MoG_PHG83-025-1-1-1-1-B	MOG_PHG83-025-1-1-1-1-B
PHN11_LH145_0116	PHN11_LH145_0116
Mo44_PHW65_0412	MO44_PHW65_0412
Mo44_PHW65_0012	MO44_PHW65_0012
Mo44_PHW65_0416	MO44_PHW65_0416
PHN11_LH145_0255	PHN11_LH145_0255
Mo44_LH145_0184	MO44_LH145_0184
Mo44_PHW65_0116	MO44_PHW65_0116
Mo44_PHW65_0390	MO44_PHW65_0390
Mo44_LH145_0016	MO44_LH145_0016
PHN11_LH145_0114	PHN11_LH145_0114
Mo44_PHW65_0113	MO44_PHW65_0113
Mo44_PHW65_0067	MO44_PHW65_0067
PHN11_LH145_0278	PHN11_LH145_0278
PHJ65	PHJ65
MoG_PHG83-093-1-1-1-1-B	MOG_PHG83-093-1-1-1-1-B
2FACC	2FACC
PHK05	PHK05
Mo44_PHW65_0391	MO44_PHW65_0391
PHN11_LH145_0024	PHN11_LH145_0024
PHW03	PHW03
PHN11_LH145_0126	PHN11_LH145_0126
Mo44_PHW65_0088	MO44_PHW65_0088
PHN11_PHW65_0494	PHN11_PHW65_0494
Mo44_PHW65_0011	MO44_PHW65_0011
Mo44_PHG47_0306	MO44_PHG47_0306
BSSSC0_026	BSSSC0_026
BSSSC0_054	BSSSC0_054
PHN11_LH145_0242	PHN11_LH145_0242
Mo44_PHW65_0407	MO44_PHW65_0407
MoG_PHG83-123-1-1-1-1-B	MOG_PHG83-123-1-1-1-1-B
Mo44_PHW65_0064	MO44_PHW65_0064
Mo44_PHW65_0068	MO44_PHW65_0068
MoG_PHG83-049-1-1-1-1-B	MOG_PHG83-049-1-1-1-1-B
MoG_PHG83-121-1-1-1-1-B	MOG_PHG83-121-1-1-1-1-B
BGEM-0107-N	BGEM-0107-N
PHN11_LH145_0261	PHN11_LH145_0261
PHN11_LH145_0229	PHN11_LH145_0229
Tx303	TX303
TX130RP-B15-B5	TX130RP-B15-B5
TX770RP-B25-B25	TX770RP-B25-B25
(Tx736)((Tx772xT246)xTx772)-1-5-B-B-B-B-B-B-B6-B12-B2-B13	(TX736)((TX772XT246)XTX772)-1-5-B-B-B-B-B-B-B6-B12-B2-B13
(Tx739)LAMA2002-10-1-B-B-B-B3-B7orange-B7-B11	(TX739)LAMA2002-10-1-B-B-B-B3-B7ORANGE-B7-B11
LAMA2002-58-3-B-B-B-B-B-B-1-B19-B18-B22	LAMA2002-58-3-B-B-B-B-B-B-1-B19-B18-B22
(CML442-B/CML343-B-B-B-B-B-B)-B-B-1-1-B-B-B-1-B12-1-B21	CML442*CML343
TX6252-B23	TX6252-B23
(LAMA2002-23-3-B/LAMA2002-58-4-B)-B-B-2-3-B-B-B-1-B23-B5-B27-B12-1-B25	(LAMA2002-23-3-B/LAMA2002-58-4-B)-B-B-2-3-B-B-B-1-B23-B5-B27-B12-1-B25
RedEar2-2-2-1-1-2-B-B-1-B10-B27	REDEAR2-2-2-1-1-2-B-B-1-B10-B27
CML450-B/Tx110)-B-3-B-1-B-B-1-1-B18-B21-B8-1-B25	CML450*TX110
LAMA2002-12-1-B-B-B-B-B-B-1-B28-B14-B27-B	LAMA2002-12-1-B-B-B-B-B-B-1-B28-B14
ArgentineFlintyComposite-C(1)-37-B-B-B2-1-B25-B2-B?-1-B	ARGENTINEFLINTYCOMPOSITE-C(1)-37-B-B-B2-1-B25-B2-B?-1-B
(LAMA2002-35-2-B-B-B-B/CG44)-1-3-B-1-1-B24-B5-B16-B18-B23	(LAMA2002-35-2-B-B-B-B_CG44)-1-3-B-1-1-B24-B5-B16
PHR03	PHR03
PHP38	PHP38
BSSSC0_044	BSSSC0_044
MoG_PHG83-024-1-1-1-1	MOG_PHG83-024-1-1-1-1
PHN37	PHN37
GEMN-0269	GEMN-0269
PHW65_MoG_0003	PHW65_MOG_0003
MoG_PHG83-216-1-1-1-1-B	MOG_PHG83-216-1-1-1-1-B
MoG_PHG83-178-1-1-1-1-B	MOG_PHG83-178-1-1-1-1-B
Z037E0012	Z037E0012
Z038E0057	Z038E0057
W10001_0033	W10001_0033
MBNIL_B040	MBNIL B040
Mo44_PHW65_0029	MO44_PHW65_0029
MBNIL_B004	MBNIL B004
MBNIL_B015	MBNIL B015
Mo44_PHW65_0227	MO44_PHW65_0227
Mo44_PHW65_0423	MO44_PHW65_0423
Mo44_PHW65_0167	MO44_PHW65_0167
Mo44_PHW65_0434	MO44_PHW65_0434
Z031E0556	Z031E0556
Z034E0042	Z034E0042
Z037E0054	Z037E0054
GEMN-0262	GEMN-0262
MBNIL_B055	MBNIL B055
MBNIL_B169	MBNIL B169
MBNIL_B125	MBNIL B125
MBNIL_B078	MBNIL B078
MBNIL_B131	MBNIL B131
MBNIL_B144	MBNIL B144
MBNIL_B175	MBNIL B175
MBNIL_B136	MBNIL B136
MBNIL_B189	MBNIL B189
MBNIL_B057	MBNIL B057
MBNIL_B123	MBNIL B123
PHW65_MoG_0150	PHW65_MOG_0150
MBNIL_B111	MBNIL B111
MBNIL_B122	MBNIL B122
PHW65_MoG_0591	PHW65_MOG_0591
MBNIL_B044	MBNIL B044
MBNIL_B102	MBNIL B102
PHW65_MoG_0314	PHW65_MOG_0314
PHW65_MoG_0569	PHW65_MOG_0569
Os420	OS420
MBNIL_B065	MBNIL B065
MBNIL_B107	MBNIL B107
PHW65_MoG_0109	PHW65_MOG_0109
PHW65_MoG_0512	PHW65_MOG_0512
PHW65_MoG_0392	PHW65_MOG_0392
PHW65_MoG_0022	PHW65_MOG_0022
PHW65_MoG_0620	PHW65_MOG_0620
Mo44_PHG47_0084	MO44_PHG47_0084
Mo44_PHW65_0010	MO44_PHW65_0010
W10004_0178	W10004_0178
PHN11_LH145_0005	PHN11_LH145_0005
W10008_0018	W10008_0018
Mo44_PHW65_0219	MO44_PHW65_0219
W10004_0208	W10004_0208
PHW65_MoG_0034	PHW65_MOG_0034
W10004_0212	W10004_0212
W10004_0007	W10004_0007
PHW65_MoG_0108	PHW65_MOG_0108
PHW65_MoG_0360	PHW65_MOG_0360
W10004_0258	W10004_0258
Mo44_PHW65_0358	MO44_PHW65_0358
W10004_0041	W10004_0041
PHW65_MoG_0424	PHW65_MOG_0424
W10004_0225	W10004_0225
PHW65_MoG_0375	PHW65_MOG_0375
W10004_0292	W10004_0292
PHW65_MoG_0202	PHW65_MOG_0202
W10004_0008	W10004_0008
Z035E0060	Z035E0060
Z030E0058	Z030E0058
Z031E0012	Z031E0012
Ill.Hy	ILL.HY
Fe	FE
CG106	CG106
CG120	CG120
Tr9-1-1-6	TR9-1-1-6
CGR03	CGR03
B73_PHG39-12	B73_PHG39-12
B73_PHG39-15	B73_PHG39-15
CG102	CG102
CGR04	CGR04
CGX333	CGX333
CG118	CG118
CG104	CG104
CG129(CG118xPHG72-90)	CG129(CG118XPHG72-90)
CG65	CG65
LH82_PHG47-9	LH82_PHG47-9
MBNILB131	MBNILB131
MBNILB049	MBNILB049
MBNILB015	MBNILB015
B73_PHG39-1	B73_PHG39-1
MBNILB044	MBNILB044
MBNILB055	MBNILB055
Z034E0064	Z034E0064
MBNILB040	MBNILB040
MBNILB107	MBNILB107
MBNILB169	MBNILB169
Z029E0002	Z029E0002
MBNILB123	MBNILB123
Z035E0047	Z035E0047
MBNILB111	MBNILB111
MBNILB102	MBNILB102
MBNILB175	MBNILB175
MBNILB057	MBNILB057
MBNILB043	MBNILB043
Z030E0059	Z030E0059
MBNILB144	MBNILB144
PH207_PHG47-5	PH207_PHG47-5
MBNILB004	MBNILB004
MBNILB078	MBNILB078
Z032E0034	Z032E0034
Z033E0001	Z033E0001
MBNILB154	MBNILB154
CG105	CG105
MBNILB065	MBNILB065
MBNILB189	MBNILB189
MBNILB136	MBNILB136
MBNILB125	MBNILB125
MBNILB122	MBNILB122
CG128(CG118_CG108-169)	CG128(CG118_CG108-169)
Z032E0081	Z032E0081
CG130(CG118_CG108-97)	CG130(CG118_CG108-97)
CG131(CG119_CG44-107)	CG131(CG119_CG44-107)
CGR01	CGR01
Z036E0057	Z036E0057
PHW65_MoG_0061	PHW65_MOG_0061
PHN11_LH145_0300	PHN11_LH145_0300
PHW65_MoG_0310	PHW65_MOG_0310
CML269	CML269
GEMN-0268	GEMN-0268
MoG_PHG83-011-1-1-1-1-B	MOG_PHG83-011-1-1-1-1-B
Mo44_PHG47_0198	MO44_PHG47_0198
PHW65_MoG_0513	PHW65_MOG_0513
LH132	LH132
LH123Ht	LH123HT
M0001	M0001
M0007	M0007
M0030	M0030
M0008	M0008
M0012	M0012
M0024	M0024
M0027	M0027
M0029	M0029
M0031	M0031
M0033	M0033
M0039	M0039
M0045	M0045
M0058	M0058
M0061	M0061
M0067	M0067
M0075	M0075
M0035	M0035
M0051	M0051
M0057	M0057
M0062	M0062
M0066	M0066
M0076	M0076
M0010	M0010
M0014	M0014
M0015	M0015
M0022	M0022
M0077	M0077
M0272	M0272
M0276	M0276
M0297	M0297
M0309	M0309
M0311	M0311
M0317	M0317
M0264	M0264
M0296	M0296
M0310	M0310
M0315	M0315
M0321	M0321
M0345	M0345
M0355	M0355
M0360	M0360
M0369	M0369
M0383	M0383
M0323	M0323
M0326	M0326
M0346	M0346
M0354	M0354
M0357	M0357
M0368	M0368
M0378	M0378
M0382	M0382
Z013E0009	Z013E0009
Z013E0042	Z013E0042
Z013E0059	Z013E0059
Z013E0026	Z013E0026
Z013E0034	Z013E0034
Z013E0052	Z013E0052
Z013E0069	Z013E0069
Z013E0078	Z013E0078
Z013E0093	Z013E0093
Z013E0002	Z013E0002
Z013E0019	Z013E0019
Z013E0027	Z013E0027
Z013E0035	Z013E0035
Z013E0044	Z013E0044
Z013E0061	Z013E0061
Z013E0079	Z013E0079
Z013E0087	Z013E0087
Z013E0012	Z013E0012
Z013E0020	Z013E0020
Z013E0028	Z013E0028
Z013E0036	Z013E0036
Z013E0045	Z013E0045
Z013E0062	Z013E0062
Z013E0072	Z013E0072
Z013E0088	Z013E0088
Z013E0021	Z013E0021
Z013E0037	Z013E0037
Z013E0046	Z013E0046
Z013E0055	Z013E0055
Z013E0063	Z013E0063
Z013E0073	Z013E0073
Z013E0014	Z013E0014
Z013E0022	Z013E0022
Z013E0047	Z013E0047
Z013E0056	Z013E0056
Z013E0074	Z013E0074
Z013E0082	Z013E0082
Z013E0090	Z013E0090
Z013E0039	Z013E0039
Z013E0066	Z013E0066
Z013E0007	Z013E0007
Z013E0016	Z013E0016
Z013E0032	Z013E0032
Z013E0058	Z013E0058
Z013E0067	Z013E0067
Z013E0092	Z013E0092
Z013E0003	Z013E0003
Z013E0006	Z013E0006
Z013E0111	Z013E0111
Z022E0008	Z022E0008
Z022E0016	Z022E0016
Z022E0042	Z022E0042
Z022E0060	Z022E0060
Z022E0017	Z022E0017
Z022E0027	Z022E0027
Z022E0077	Z022E0077
Z022E0044	Z022E0044
Z022E0003	Z022E0003
Z022E0079	Z022E0079
Z022E0094	Z022E0094
Z022E0025	Z022E0025
Z022E0051	Z022E0051
Z022E0029	Z022E0029
Z022E0046	Z022E0046
Z022E0020	Z022E0020
Z022E0072	Z022E0072
Z022E0095	Z022E0095
Z022E0005	Z022E0005
Z022E0073	Z022E0073
Z022E0006	Z022E0006
Z022E0023	Z022E0023
Z022E0082	Z022E0082
Z022E0097	Z022E0097
Z022E0059	Z022E0059
Z022E0114	Z022E0114
Z022E0123	Z022E0123
Z022E0108	Z022E0108
Z022E0149	Z022E0149
Z022E0166	Z022E0166
Z022E0130	Z022E0130
Z022E0110	Z022E0110
Z022E0134	Z022E0134
Z022E0142	Z022E0142
Z022E0160	Z022E0160
Z022E0105	Z022E0105
Z022E0121	Z022E0121
Z022E0178	Z022E0178
Z022E0036	Z022E0036
Z022E0147	Z022E0147
Z022E0050	Z022E0050
Z022E0053	Z022E0053
Z022E0155	Z022E0155
Z022E0083	Z022E0083
PI601497	PHN11
PI601441	PB80
PI601500	PHV63
PI594049	B106
PI601469	PHR25
PI601568	PHM49
PI601501	PHW65
PI634212	B118
PI601402	LH146HT
PI539921	LH162
PI600955	LH51
PI550558	DE811
PI601229	PHG83
PI634213	B119
Ames28939	MO44
NSL65866	B14
PI550461	B14A
PI531511	R227
PI601783	PHN82
PI587142	A679
PI601559	2369
PI619429	TX802
Ames23923	TX61M
PI600959	LH145
PI601466	LH59
PI601026	F42
PI633840	TX714
GT602	GT602
PI601321	PHJ40
PI601190	Q381
PI601319	PHG72
PI600957	LH74
PI601570	PHP02
PI601170	LH82
PI531084	NC258
GT601	GT601
PI601490	787
Tx772	TX772
Ames8399	W117HT
PI594088	N542
PI600791	LH38
Ames22761	TX81
PI594050	N501
PI587139	A619
PI594047	B104
PI550566	N192
PI601416	LH61
PI601318	PHG47
Ames22751	H114
PI531510	R226
PI601489	740
PI601317	LH57
PI601008	PHG35
PI601498	PHT55
PI601270	PHG29
PI600981	PHG39
PI537097	LH195
Ames23496	A672
PI594048	B105
PI550465	B68
PI597927	B109
PI607382	B111
PI601575	PHW52
PI601493	LH149
NC230	NC230
H95	H95
MoG	MOG
B37	B37
A634	A634
B79	B79
Wf9	WF9
A635	A635
Mo45	MO45
PI601322	PHZ51
PI533658	SD101
CML228	CML228
B103	B103
B97	B97
CML333	CML333
Ky21	KY21
CML103	CML103
NC358	NC358
CML69	CML69
Tzi8	TZI8
Oh43	OH43
CML322	CML322
OH7B	OH7B
Ki3	KI3
M162W	M162W
CML247	CML247
Ames19311	A641
PI601005	PH207
PI601006	PHG50
PI548801	PHM81
PI548802	PHN66
PI547089	LH212HT
PI559949	PHT69
PI651540	GEMS-0113
PI658089	GEMS-0161
PI658076	GEMN-0144
PI659679	GEMS-0142
PI658079	GEMS-0147
Ames30793	GEMN-0178
PI658078	GEMS-0146
PI658071	GEMN-0138
PI651534	GEMN-0097
PI658077	GEMN-0145
GEMS-0219	GEMS-0219
PI651541	GEMS-0115
Ames30797	GEMS-0182
PI658090	GEMS-0162
PI658081	GEMS-0149
PI659681	GEMS-0163
PI659680	GEMS-0150
PI658084	GEMN-0156
PI658083	GEMN-0155
PI658080	GEMS-0148
GEMN-0192	GEMN-0192
Ames22759	TX29A
M0038	M0038
M0099	M0099
M0003	M0003
M0101	M0101
M0114	M0114
M0048	M0048
M0092	M0092
M0116	M0116
M0041	M0041
M0083	M0083
M0118	M0118
M0016	M0016
M0042	M0042
M0052	M0052
M0085	M0085
M0106	M0106
M0087	M0087
M0028	M0028
M0056	M0056
M0088	M0088
M0125	M0125
M0163	M0163
M0172	M0172
M0141	M0141
M0154	M0154
M0164	M0164
M0127	M0127
M0186	M0186
M0143	M0143
M0266	M0266
M0159	M0159
M0269	M0269
M0162	M0162
M0262	M0262
M0325	M0325
M0275	M0275
M0287	M0287
M0328	M0328
M0341	M0341
M0352	M0352
M0365	M0365
A680	A680
A632	A632
B84	B84
B76	B76
CM105	CM105
C103	C103
Z013E0080	Z013E0080
Z022E0009	Z022E0009
Z022E0048	Z022E0048
AH83	AH83
PI538011	LH220HT
Ames27138	N28HT
Va35	VA35
PI601773	PHJ31
